kper,kstp,imdl,iprp,irpt,ilay,icell,izone,istatus,ireason,trelease,t,x,y,z,name
1,1,1,1,1,1,1,0,1,0,.000000000000000,.000000000000000,.1000000000000000,9.100000000000000,.5000000000000000,PRP000000001
1,1,1,1,1,1,1,0,1,1,.000000000000000,.6345986517174945E-01,.1111111111111111,9.000000000000000,.5000000000000000,PRP000000001
1,1,1,1,1,1,11,0,1,1,.000000000000000,.8304308339182425,.1840201091047777,8.000000000000000,.5000000000000000,PRP000000001
1,1,1,1,1,1,21,0,1,1,.000000000000000,2.026389948294649,.2675956324493809,7.000000000000000,.5000000000000000,PRP000000001
1,1,1,1,1,1,31,0,1,1,.000000000000000,3.704265435673124,.3606040744154423,6.000000000000000,.5000000000000000,PRP000000001
1,1,1,1,1,1,41,0,1,1,.000000000000000,5.928937232170627,.4696105785642022,5.000000000000000,.5000000000000000,PRP000000001
1,1,1,1,1,1,51,0,1,1,.000000000000000,8.827842277987040,.6123549075346494,4.000000000000000,.5000000000000000,PRP000000001
1,1,1,1,1,1,61,0,1,1,.000000000000000,12.68120183411981,.8315419220952132,3.000000000000000,.5000000000000000,PRP000000001
1,1,1,1,1,1,71,0,1,1,.000000000000000,15.14939193559672,1.000000000000000,2.499948317631721,.5000000000000000,PRP000000001
1,1,1,1,1,1,72,0,1,1,.000000000000000,18.21418587905050,1.255970885130385,2.000000000000000,.5000000000000000,PRP000000001
1,1,1,1,1,1,82,0,1,1,.000000000000000,24.57630394377621,2.000000000000000,1.255876098210262,.5000000000000000,PRP000000001
1,1,1,1,1,1,83,0,1,1,.000000000000000,27.64079914213009,2.499702722804964,1.000000000000000,.5000000000000000,PRP000000001
1,1,1,1,1,1,93,0,1,1,.000000000000000,30.11083496453177,3.000000000000000,.8314848596408819,.5000000000000000,PRP000000001
1,1,1,1,1,1,94,0,1,1,.000000000000000,33.96453146615585,4.000000000000000,.6122853298161113,.5000000000000000,PRP000000001
1,1,1,1,1,1,95,0,1,1,.000000000000000,36.86342560027116,5.000000000000000,.4694741172286391,.5000000000000000,PRP000000001
1,1,1,1,1,1,96,0,1,1,.000000000000000,39.08799504314657,6.000000000000000,.3604128606742599,.5000000000000000,PRP000000001
1,1,1,1,1,1,97,0,1,1,.000000000000000,40.76579383248019,7.000000000000000,.2674032132676457,.5000000000000000,PRP000000001
1,1,1,1,1,1,98,0,1,1,.000000000000000,41.96175836497356,8.000000000000000,.1838899700554665,.5000000000000000,PRP000000001
1,1,1,1,1,1,99,0,1,1,.000000000000000,42.72875484883790,9.000000000000000,.1110317990610085,.5000000000000000,PRP000000001
1,1,1,1,1,1,100,0,5,3,.000000000000000,42.72875484883790,9.000000000000000,.1110317990610085,.5000000000000000,PRP000000001
1,1,1,1,2,1,1,0,1,0,.000000000000000,.000000000000000,.2000000000000000,9.199999999999999,.5000000000000000,PRP000000002
1,1,1,1,2,1,1,0,1,1,.000000000000000,.1344019587597114,.2499999999999998,9.000000000000000,.5000000000000000,PRP000000002
1,1,1,1,2,1,11,0,1,1,.000000000000000,.9013729275062045,.4140452454857496,8.000000000000000,.5000000000000000,PRP000000002
1,1,1,1,2,1,21,0,1,1,.000000000000000,2.097332041882611,.6020901730111069,7.000000000000000,.5000000000000000,PRP000000002
1,1,1,1,2,1,31,0,1,1,.000000000000000,3.775207529261086,.8113591674347448,6.000000000000000,.5000000000000000,PRP000000002
1,1,1,1,2,1,41,0,1,1,.000000000000000,5.535959045252451,1.000000000000000,5.187314016456632,.5000000000000000,PRP000000002
1,1,1,1,2,1,42,0,1,1,.000000000000000,6.037268307514641,1.060833070496150,5.000000000000000,.5000000000000000,PRP000000002
1,1,1,1,2,1,52,0,1,1,.000000000000000,9.106420685909395,1.393711253205838,4.000000000000000,.5000000000000000,PRP000000002
1,1,1,1,2,1,62,0,1,1,.000000000000000,13.08389057699164,1.889676216739610,3.000000000000000,.5000000000000000,PRP000000002
1,1,1,1,2,1,72,0,1,1,.000000000000000,13.86103602973066,2.000000000000000,2.835798404653227,.5000000000000000,PRP000000002
1,1,1,1,2,1,73,0,1,1,.000000000000000,18.71985648382454,2.835487432134109,2.000000000000000,.5000000000000000,PRP000000002
1,1,1,1,2,1,83,0,1,1,.000000000000000,19.49876924392792,3.000000000000000,1.889402280179934,.5000000000000000,PRP000000002
1,1,1,1,2,1,84,0,1,1,.000000000000000,23.47729073062385,4.000000000000000,1.393288754623582,.5000000000000000,PRP000000002
1,1,1,1,2,1,85,0,1,1,.000000000000000,26.54694563326774,5.000000000000000,1.060289778364293,.5000000000000000,PRP000000002
1,1,1,1,2,1,86,0,1,1,.000000000000000,27.04342109091038,5.185449557844453,1.000000000000000,.5000000000000000,PRP000000002
1,1,1,1,2,1,96,0,1,1,.000000000000000,28.80857582239105,6.000000000000000,.8107730357146236,.5000000000000000,PRP000000002
1,1,1,1,2,1,97,0,1,1,.000000000000000,30.48637461172467,7.000000000000000,.6015415614616489,.5000000000000000,PRP000000002
1,1,1,1,2,1,98,0,1,1,.000000000000000,31.68233914421804,8.000000000000000,.4136728888653385,.5000000000000000,PRP000000002
1,1,1,1,2,1,99,0,1,1,.000000000000000,32.44933562808238,9.000000000000000,.2497735197826673,.5000000000000000,PRP000000002
1,1,1,1,2,1,100,0,5,3,.000000000000000,32.44933562808238,9.000000000000000,.2497735197826673,.5000000000000000,PRP000000002
1,1,1,1,3,1,1,0,1,0,.000000000000000,.000000000000000,.3000000100000000,9.300000010000000,.5000000000000000,PRP000000003
